AREAKEY,SHR0D,SHRWHT0,SHRBLK0,SHRAMI0N,SHRASN0N,SHRHIP0N,SHRHSP0,ADULT0,CHILD0,OLD0,NUMHHS0,NONFAM0,WNONFAM0,WRCNTY0D,WRKSM0,WKHOME0,COMMUT20,WM16P0,WMEMP0,WF16P0,WFEMP0,WORKER30,POVRAT0,WELFARE0,AVWELIN0,AVSSI0,MDFAMY0,AVSOCS0,AVRETR0,TOTHSUN0,VACHU0,RNTOCC0
06059021810,3681,0.861451,0.012768,59,249,14,0.137191,0.746536,0.253464,0.098343,1216,169,169,1812,0.851545,45,1013,1212,892,1248,711,186,0.043762,0.048520,5233.898305,6688.571429,72034,12148.456790,29328.853755,1224,15,114
06059021812,6506,0.796957,0.027820,94,666,13,0.178604,0.723793,0.276207,0.065017,2210,500,415,3501,0.812339,130,1852,1897,1521,1955,1317,218,0.045151,0.043891,6477.567010,7914.140351,70259,11972.364985,16688.868657,2255,54,722
06059021813,29,0.310345,0.000000,0,0,0,1.000000,0.482759,0.482759,0.000000,9,0,0,14,0.642857,0,4,4,4,4,4,0,0.000000,0.444444,99.000000,0.000000,52500,0.000000,42405.500000,8,0,3
06059021814,6985,0.768218,0.033644,19,1043,6,0.127130,0.723264,0.276593,0.059556,2508,625,481,3637,0.731647,120,1909,1958,1523,2005,1281,245,0.060845,0.023126,9633.775862,10041.782609,81176,14871.896154,16635.639731,2566,57,971
06059021815,3129,0.865772,0.028763,8,232,2,0.104506,0.767018,0.233301,0.176414,1232,361,360,1601,0.725796,116,896,1019,692,1126,681,97,0.027165,0.064123,4860.835443,6008.058824,80541,12145.078886,15309.923588,1258,23,100
06059021816,4942,0.880413,0.007892,106,324,3,0.098948,0.745650,0.254350,0.099555,1749,319,303,2497,0.778534,93,1293,1567,1274,1799,1008,175,0.031971,0.026301,5734.260870,5348.068966,88975,13884.537994,25227.089965,1767,22,189
06059021817,3569,0.861306,0.012328,20,296,9,0.117120,0.721771,0.278229,0.059961,1239,270,225,2026,0.832182,99,1089,1071,917,1209,859,136,0.014913,0.024213,3903.100000,6283.777778,78741,11366.705263,13804.456897,1258,11,272
06059021820,4209,0.744833,0.002851,18,867,11,0.114517,0.705631,0.294369,0.059634,1331,174,154,2165,0.732102,91,987,1098,923,1170,746,193,0.004062,0.015026,3575.000000,3575.000000,85552,12595.721925,16141.420118,1339,9,151
06059021821,5259,0.676745,0.016543,33,950,9,0.248336,0.758699,0.241491,0.040122,1988,621,519,3067,0.757092,20,1450,1308,1113,1463,1017,162,0.049249,0.051308,3479.450980,1120.000000,65416,10041.954023,12627.369128,2065,66,928
06059021822,3704,0.859881,0.031048,0,309,2,0.102592,0.744060,0.255940,0.105022,1352,246,233,2008,0.784861,128,1123,1178,921,1297,827,193,0.042432,0.053994,7015.068493,9638.775510,92275,13895.945946,13527.173913,1333,23,136
06059021823,3236,0.809642,0.011434,29,442,2,0.109703,0.726514,0.273486,0.064895,966,77,63,1715,0.824490,138,777,993,781,953,661,229,0.022713,0.092133,4743.820225,6288.000000,89337,12676.119403,34280.838323,1022,9,132
06059021824,2956,0.834574,0.010149,24,402,4,0.075440,0.696549,0.302774,0.027740,881,55,50,1525,0.789508,56,542,845,727,951,560,126,0.020298,0.032917,13782.896552,11780.384615,108253,7791.838710,17978.824561,896,4,43
06059021825,3551,0.776964,0.019713,12,514,0,0.107857,0.641791,0.357646,0.071248,1128,176,149,1501,0.783478,142,719,883,723,958,455,81,0.020845,0.042553,7250.958333,9054.074074,105336,11018.340426,29620.000000,1112,10,162
06059021826,2517,0.735399,0.028605,0,474,5,0.144219,0.732618,0.267382,0.022646,1002,318,300,1374,0.815866,16,432,643,564,747,529,27,0.035360,0.020958,11019.047619,8125.000000,67444,13300.000000,32646.000000,1101,68,477
06059021827,3427,0.805369,0.029764,11,527,1,0.076744,0.660053,0.340239,0.031806,1048,132,102,1792,0.802455,141,776,971,844,955,663,139,0.025739,0.024809,4095.576923,3694.095238,117670,11162.090909,29376.800000,1026,9,287
06059021828,4705,0.748565,0.020829,16,1036,4,0.079490,0.643996,0.356004,0.028693,1321,102,74,2307,0.657997,110,914,1251,1156,1067,698,310,0.003204,0.015140,18800.000000,37662.500000,126922,11423.214286,31439.603960,1331,9,43
06059021829,5339,0.756696,0.006368,15,1177,2,0.057314,0.711744,0.288069,0.064993,1652,91,72,2642,0.672975,84,1103,1445,1179,1505,830,244,0.025848,0.051453,6068.470588,6449.590164,118027,14701.210970,33232.722727,1665,26,54
06059021830,5930,0.830354,0.008600,56,781,29,0.076728,0.696121,0.304553,0.064924,1912,260,249,3081,0.717624,135,1411,1710,1406,1817,1153,393,0.022934,0.038180,8841.808219,9185.882353,108058,12930.575188,20164.581028,1966,46,125
06059021903,3965,0.720807,0.016646,5,705,9,0.222194,0.729634,0.270366,0.069357,1164,157,130,1989,0.806435,122,1076,1083,801,1038,681,234,0.032250,0.027491,7746.875000,7329.629630,76114,12102.439024,16121.764706,1176,8,158
06059021905,5216,0.799080,0.019939,14,694,3,0.129218,0.743865,0.256135,0.081288,1681,236,186,2665,0.771857,135,1181,1553,1138,1677,1084,297,0.040824,0.030934,6890.384615,6944.897959,92829,10965.060241,22133.739837,1692,21,288
06059021912,3346,0.864614,0.000897,0,416,10,0.052301,0.719964,0.279438,0.083084,1075,83,79,1644,0.838808,55,914,1042,838,1079,581,105,0.016736,0.032558,5565.085714,5472.392857,124947,15921.406452,29343.810811,1197,129,51
06059021913,8445,0.670930,0.005565,126,961,19,0.582238,0.699586,0.300414,0.066193,1966,202,175,3616,0.858407,124,1812,2101,1327,1914,1003,480,0.168859,0.081892,6245.049689,7571.500000,61769,11139.093248,14807.796923,1979,20,563
